state,county,cases,deaths,Population Density (people/mi^2),Diabetes Prevalence 2012* (%),Overall sufficient physical activity  prevalence 2011* (%),Overall obesity prevalence 2011* (%),Heavy Alcohol Consumption* (%) 2012 (Heavy- past 30 days 1drink/day for women 2 for men),Binge Alcohol Consumption* (%)2012 (Binge- past 30 days >4 drinks one occasion >5 for men),Population,LandArea (mi^2),"Male sufficient physical activity  prevalence, 2011* (%)","Female sufficient physical activity  prevalence, 2011* (%)","Male obesity  prevalence, 2011* (%)","Female obesity prevalence, 2011* (%)"
Alabama,Jackson AL,1745,12,45.81565822,15.3,41.7,38.8,4.8,10.4,"51,626",1126.82,43.7,39.7,37.8,39.8
Alabama,Jefferson AL,20965,359,585.9868134,16.1,45.85,38.7,7.1,14.6,"658,573",1123.87,49.8,41.9,33.5,43.8
Alabama,Lamar AL,404,3,22.79896286,16.31,42.2,39.3,3.9,8.7,"13,805",605.51,46.4,38,40.3,38.3
Alabama,Lauderdale AL,1880,37,128.9981081,15.19,44.9,36.9,5.3,11.1,"92,729",718.84,47.1,42.7,34.9,38.8
Alabama,Lawrence AL,689,26,45.84685224,17.25,43.25,43.4,3.8,8.6,"32,924",718.13,45.4,41.1,40.6,46.1
Alabama,Lee AL,6243,64,267.2828577,15.98,53.6,37.9,8.3,15.4,"164,542",615.61,57.9,49.3,36.3,39.5
Alabama,Limestone AL,2396,23,162.9249572,15.56,45.95,40,4.9,10.8,"98,915",607.12,50.4,41.5,39.1,40.9
Alabama,Lowndes AL,672,27,13.41350729,22.47,41,48.5,6.8,13.2,"9,726",725.09,44.7,37.3,41.6,55.3
Alabama,Macon AL,503,18,29.46077712,22.98,43.3,46.9,7.8,13.9,"18,068",613.29,48,38.6,39.9,53.9
Alabama,Madison AL,8375,83,458.7447256,14.57,50.2,36,6.8,13.5,"372,909",812.89,54.3,46.1,34,38
