county,cases,deaths,Population Density (people/mi^2),Diabetes Prevalence 2012 Both Sexes (%),Overall sufficient physical activity  prevalence 2011* (%),Overall obesity prevalence 2011* (%),Heavy Alcohol Consumption (%) 2012 (Heavy- past 30 days 1drink/day for women 2 for men),Binge Alcohol Consumption (%) 2012  (Binge- past 30 days >4 drinks one occasion >5 for men),,LandArea (mi^2),Population,"Male sufficient physical activity  prevalence, 2011* (%)","Female sufficient physical activity  prevalence, 2011* (%)","Male obesity  prevalence, 2011* (%)","Female obesity prevalence, 2011* (%)"
Arkansas AR,527,11,16.91347874,16.21,43.65,42.5,6.4,14.6,,1033.85,"17,486",48.1,39.2,40.0,44.9
Ashley AR,457,12,20.93040589,16.26,47,42.2,5.3,12.4,,939.16,"19,657",52.8,41.2,38.8,45.5
Baxter AR,434,3,71.461195,12.93,53.7,34.4,8.7,17.5,,586.78,"41,932",57.4,50.0,34.7,34.0
Benton AR,7065,98,318.356105,14.17,54.3,34.9,6.5,14.3,,876.82,"279,141",57.2,51.4,35.8,34.0
Boone AR,843,24,62.19386568,13.7,51.75,33.9,6.1,13.0,,601.86,"37,432",52.8,50.7,34.5,33.2
Bradley AR,345,8,16.44637318,17.19,43.2,42.8,4.6,12.1,,654.43,"10,763",48.0,38.4,38.9,46.7
Calhoun AR,38,0,8.202785374,16.14,46.2,42.0,7.7,15.7,,632.59,"5,189",50.1,42.3,39.3,44.7
Carroll AR,796,11,44.18289664,14.28,50.3,34.8,8.0,16.9,,642.33,"28,380",51.8,48.8,36.0,33.6
Chicot AR,1016,22,14.64403051,20.22,39.65,47.1,5.9,12.6,,690.93,"10,118",44.2,35.1,41.8,52.4
Clark AR,409,4,25.28662709,16.06,48.5,39.4,5.6,12.9,,882.68,"22,320",50.8,46.2,38.8,40.0
Clay AR,363,11,22.68383557,14.88,42.15,42.2,5.9,13.7,,641.47,"14,551",44.2,40.1,42.0,42.4
Cleburne AR,377,12,42.09646085,14.12,50.4,36.9,6.6,15.1,,591.95,"24,919",51.0,49.8,37.6,36.2
Cleveland AR,195,12,13.28568566,14.74,50.7,39.5,6.9,15.1,,598.84,"7,956",53.9,47.5,38.4,40.6
Columbia AR,595,18,30.58518267,16.48,49.5,41.3,6.0,13.4,,766.94,"23,457",55.6,43.4,39.0,43.5
Conway AR,304,3,36.78424591,15.36,49.85,39.4,10.2,19.2,,566.71,"20,846",50.0,49.7,38.9,39.8
Craighead AR,3451,28,154.7368273,14.2,47.35,37.5,6.2,12.9,,713.03,"110,332",49.6,45.1,37.4,37.6
Crawford AR,1655,20,104.6885344,15.13,47.65,38.0,6.1,13.3,,604.24,"63,257",49.2,46.1,37.4,38.5
Crittenden AR,2041,48,75.31449751,19.92,42.8,44.2,6.4,12.8,,636.73,"47,955",48.3,37.3,38.2,50.2
Cross AR,498,15,26.38098911,16.6,45.05,42.4,6.3,13.6,,622.38,"16,419",50.9,39.2,40.2,44.6
Dallas AR,174,5,10.48921746,17.84,43.7,43.9,7.8,15.9,,668.21,"7,009",48.8,38.6,40.6,47.1
Desha AR,334,6,13.86214722,18.97,42.8,44.4,6.9,14.8,,819.57,"11,361",48.5,37.1,40.2,48.6
Drew AR,372,7,21.80062462,16.19,49.9,40.4,5.6,13.4,,835.71,"18,219",54.9,44.9,37.8,43.0
Faulkner AR,2831,23,189.7552895,14.38,52.1,35.8,7.1,14.2,,664.05,"126,007",54.3,49.9,37.3,34.2
Franklin AR,362,2,28.58549022,14.56,49.6,36.3,8.6,18.2,,619.72,"17,715",50.4,48.8,35.7,36.9
Fulton AR,213,5,20.11251531,14.34,49.05,37.6,6.3,13.0,,620.36,"12,477",50.1,48.0,38.4,36.8
Garland AR,2071,55,135.2908346,14.45,52.3,35.4,8.0,17.5,,734.61,"99,386",56.9,47.7,35.4,35.3
Grant AR,292,2,28.85192557,13.66,47.55,39.2,6.3,13.3,,633.06,"18,265",52.7,42.4,38.3,40.1
Greene AR,1024,15,78.18834204,15.16,45.05,40.0,6.6,13.9,,579.69,"45,325",47.6,42.5,41.5,38.5
Hempstead AR,436,4,29.04156888,18.1,47.15,42.8,6.0,13.0,,741.42,"21,532",50.2,44.1,41.8,43.7
Hot Spring AR,2007,28,54.27675988,14.92,44.95,39.7,6.7,13.5,,622.2,"33,771",49.8,40.1,38.5,40.8
Howard AR,511,12,22.17928903,16.41,46.05,42.6,5.8,12.8,,595.24,"13,202",47.5,44.6,41.5,43.7
Independence AR,1269,26,49.01897258,14.04,47.7,37.1,5.7,13.8,,771.64,"37,825",50.3,45.1,36.9,37.2
Izard AR,303,1,23.33453182,14.8,48.15,36.4,5.8,13.5,,584.07,"13,629",49.5,46.8,37.8,35.0
Jackson AR,473,2,26.06235386,17.12,40.3,43.7,7.0,15.0,,641.5,"16,719",45.4,35.2,41.7,45.6
Jefferson AR,3672,87,73.13160055,18.73,43.9,44.2,7.5,14.8,,913.75,"66,824",48.8,39.0,39.0,49.4
Johnson AR,896,7,38.92615484,14.93,46.1,39.5,6.7,14.3,,682.78,"26,578",47.9,44.3,39.6,39.4
Lafayette AR,132,3,12.15167581,18.35,44.7,44.2,5.7,13.0,,545.11,"6,624",47.4,42.0,42.6,45.8
Lawrence,546,13,27.69459309,15.19,42.3,41.8,5.9,13.1,,592.39,"16,406",44.1,40.5,43.2,40.4
Lee AR,1087,18,14.29701372,22.21,38.3,49.3,7.2,14.1,,619.5,"8,857",43.5,33.1,42.4,56.1
Lincoln AR,2100,17,22.7608745,17.83,40.25,44.9,6.3,13.3,,572.21,"13,024",43.8,36.7,42.7,47.1
Little River AR,378,27,21.70118605,16,45.95,41.3,5.9,13.1,,564.9,"12,259",48.2,43.7,40.9,41.6
Logan AR,480,2,29.34317545,14.89,45,38.2,5.9,13.8,,731.55,"21,466",45.8,44.2,38.0,38.3
Lonoke AR,1370,17,91.35305553,14.87,47.4,38.9,7.1,14.3,,802.48,"73,309",51.3,43.5,40.0,37.8
Madison AR,385,5,19.8009867,14.98,48.8,38.5,6.8,13.7,,837.13,"16,576",51.1,46.5,38.1,38.9
Marion AR,112,0,26.06889659,14.29,54.05,37.6,7.8,15.5,,640.38,"16,694",53.6,54.5,38.5,36.6
Miller AR,1005,11,67.85092466,16.46,46.05,42.2,8.2,16.4,,637.53,"43,257",46.9,45.2,40.3,44.0
Mississippi AR,1808,53,44.19547728,18.39,39.8,44.8,6.2,12.6,,919.8,"40,651",42.8,36.8,41.2,48.3
Monroe AR,165,0,10.78267306,18.5,40,46.6,5.8,13.3,,621.46,"6,701",43.9,36.1,41.7,51.5
Montgomery AR,170,7,11.22772822,14.62,48.55,38.3,6.1,13.2,,800.34,"8,986",49.3,47.8,38.8,37.8
Nevada AR,241,14,13.29188345,17.18,44.1,43.6,6.6,13.1,,620.83,"8,252",47.1,41.1,42.9,44.3
Newton AR,264,19,9.41766678,15.1,49.5,38.3,6.6,13.4,,823.24,"7,753",49.7,49.3,38.1,38.4
Ouachita AR,288,7,31.61011221,17.12,45.25,43.7,6.5,14.4,,739.7,"23,382",47.3,43.2,39.8,47.5
Perry AR,112,0,18.65265562,14.46,48.7,38.1,7.8,15.1,,560.51,"10,455",51.6,45.8,39.0,37.1
Phillips AR,588,15,24.44798856,21.19,39.25,47.1,6.9,14.0,,727.34,"17,782",47.1,31.4,40.3,53.8
Pike AR,243,3,17.45801639,15,47.65,39.0,5.9,13.8,,613.93,"10,718",48.6,46.7,40.6,37.3
Poinsett AR,763,15,30.81840092,16.43,38.85,44.3,6.7,14.2,,763.44,"23,528",41.4,36.3,42.4,46.1
Polk AR,302,4,23.1474718,14.7,47.85,39.0,6.4,14.3,,862.47,"19,964",50.1,45.6,38.5,39.4
Pope AR,2332,36,77.11713447,14.35,50.05,37.7,6.4,14.1,,830.84,"64,072",50.3,49.8,37.1,38.3
Prairie AR,174,4,11.92938844,16,42.55,42.2,6.3,14.5,,675.81,"8,062",45.6,39.5,40.7,43.6
Pulaski AR,10130,169,485.0923989,14.75,49,36.1,8.4,16.0,,807.91,"391,911",53.3,44.7,34.3,37.9
Randolph AR,502,23,27.37166199,14.37,48.15,39.5,6.6,13.8,,656.08,"17,958",49.6,46.7,41.9,37.0
Saline AR,2354,24,38.90480045,19.98,52.4,36.8,7.2,14.0,,642.44,"24,994",58.9,45.9,35.0,38.5
Scott AR,127,1,167.6071184,13.68,45.5,38.4,6.1,12.8,,730.5,"122,437",47.1,43.9,37.4,39.3
Searcy AR,161,1,11.446863,15.74,45.2,40.5,6.5,13.4,,898.15,"10,281",44.7,45.7,38.7,42.3
Sebastian AR,4107,67,11.78802202,14.9,48.4,33.8,6.4,15.1,,668.56,"7,881",50.0,46.8,33.2,34.4
Sevier AR,1221,19,234.0853737,15.1,41.9,43.5,4.8,12.7,,546.07,"127,827",44.4,39.4,40.7,46.3
Sharp AR,265,7,29.25281227,17.45,51.45,37.5,5.7,13.6,,581.38,"17,007",51.4,51.5,40.0,34.9
St. Francis AR,1576,8,28.76366695,14.92,42.3,46.5,6.6,13.5,,606.39,"17,442",46.1,38.5,40.8,52.1
Stone AR,373,16,20.51946773,14.68,49.15,37.7,6.1,13.7,,609.47,"12,506",50.3,48.0,36.9,38.4
Union AR,983,47,36.65289569,15.62,48.35,39.8,5.8,13.1,,1055.36,"38,682",55.7,41.0,35.6,44.0
Van Buren AR,180,3,22.84085261,14.77,52.4,37.9,6.1,14.8,,724.36,"16,545",53.0,51.8,36.5,39.3
Washington AR,10171,122,250.1772883,13.71,51.1,34.7,6.9,15.5,,956.07,"239,187",51.8,50.4,34.3,35.0
White AR,1047,29,75.54751878,14.57,47.35,38.8,6.1,13.1,,1042.43,"78,753",49.8,44.9,37.9,39.6
Woodruff AR,65,0,10.6381188,18.15,40.45,45.6,7.0,15.7,,594.09,"6,320",44.3,36.6,42.1,49.1
Yell AR,1288,30,22.49048889,15.56,44.5,40.2,5.7,13.6,,948.89,"21,341",43.1,45.9,40.0,40.4
Alameda CA,21959,440,2035.079025,13.73,63.9,27.4,9.7,19.4,,821.26,"1,671,329",64.2,63.6,24.1,30.6
Alpine CA,3,0,1.519045248,12.74,61.7,33.1,12.8,19.7,,743.23,"1,129",62.3,61.1,32.1,34.0
Amador CA,301,16,65.78625095,11.93,57.35,34.6,12.5,19.3,,604.26,"39,752",59.4,55.3,34.0,35.1
Butte CA,2927,45,130.6841082,12.93,60.5,33.0,10.2,17.8,,1677.22,"219,186",62.0,59.0,31.6,34.3
Calaveras CA,329,14,44.27053196,11.94,62.1,34.6,12.3,19.5,,1036.92,"45,905",61.5,62.7,34.4,34.8
Colusa CA,541,6,18.63411512,15.34,51.75,38.5,9.2,17.8,,1156.32,"21,547",51.7,51.8,37.3,39.7
Contra Costa CA,17346,224,1437.98898,12.51,66.5,31.3,9.4,18.7,,802.18,"1,153,526",67.7,65.3,31.8,30.8
Del Norte CA,167,1,22.61432381,14.04,57,38.6,9.2,16.8,,1229.84,"27,812",57.1,56.9,37.0,40.2
El Dorado CA,1219,4,107.6559351,11.18,63.7,27.3,11.5,19.2,,1791.29,"192,843",64.7,62.7,27.0,27.5
Fresno CA,29069,406,166.0218116,16.87,54.65,40.1,6.4,15.6,,6017.89,"999,101",54.4,54.9,38.3,41.9
Glenn CA,615,3,21.39235261,14.67,54.5,37.3,9.1,17.7,,1327.25,"28,393",55.6,53.4,35.8,38.8
Humboldt CA,528,8,33.45029759,12.81,63.95,33.3,11.3,19.6,,4052.52,"135,558",65.2,62.7,31.8,34.8
Imperial CA,12145,328,40.43100525,19.84,45.65,40.0,7.1,15.0,,4482.08,"181,215",46.1,45.2,37.0,42.9
Inyo CA,199,15,1.763731026,12.95,57.65,34.7,10.9,19.5,,10227.75,"18,039",57.7,57.6,34.5,34.8
Kern CA,32741,387,110.2914349,16.71,53.25,39.1,6.9,15.4,,8162.03,"900,202",53.8,52.7,37.1,41.0
Kings CA,7956,82,109.9038503,17.2,51.6,39.5,8.3,16.3,,1391.58,"152,940",49.6,53.6,37.4,41.6
Lake CA,599,12,48.42545446,13.8,59.8,35.4,10.2,17.7,,1329.59,"64,386",60.8,58.8,33.3,37.5
Lassen CA,751,0,6.476493504,13.16,57.65,35.0,10.8,17.6,,4720.61,"30,573",59.5,55.8,34.7,35.3
Los Angeles CA,278665,6726,2112.464438,16.05,57.5,30.4,7.2,16.5,,4752.32,"10,039,107",59.5,55.5,27.1,33.7
Madera CA,4739,70,73.06015167,16.49,52.7,40.8,7.4,15.9,,2153.39,"157,327",53.3,52.1,39.2,42.3
Marin CA,6857,124,312.5087537,9.57,72.15,22.0,12.4,20.3,,828.22,"258,826",70.1,74.2,22.9,21.1
Mariposa CA,77,2,11.75959915,12.77,60.7,35.9,11.5,19.5,,1462.89,"17,203",59.4,62.0,36.3,35.4
Mendocino CA,1030,21,22.36663659,13.03,61.65,32.4,11.0,19.3,,3878.5,"86,749",62.9,60.4,31.3,33.4
Merced CA,9130,150,140.8099309,17.74,51.85,43.6,6.7,15.7,,1972.02,"277,680",53.1,50.6,41.8,45.4
Modoc CA,27,0,2.103187253,12.93,57.7,35.4,11.2,17.9,,4203.62,"8,841",58.1,57.3,34.6,36.1
Mono CA,170,2,4.611911657,11.97,61.35,32.8,12.9,21.0,,3131.89,"14,444",61.8,60.9,33.9,31.7
Monterey CA,10560,78,115.1016544,15.2,58.25,34.2,8.5,17.3,,3771.11,"434,061",60.1,56.4,33.9,34.4
Napa CA,1778,13,174.7266408,11.87,63.3,32.2,9.9,19.2,,788.34,"137,744",63.4,63.2,31.5,32.9
Nevada CA,557,8,102.361114,10.36,68.55,27.7,10.6,18.8,,974.54,"99,755",71.9,65.2,28.0,27.3
Orange CA,56800,1306,3350.204133,13.3,62.65,27.4,8.4,18.3,,947.91,"3,175,692",63.4,61.9,27.0,27.7
Placer CA,3730,51,265.510185,10.68,66.95,27.0,9.4,17.4,,1500.24,"398,329",68.9,65.0,28.0,26.0
Plumas CA,50,0,7.195408895,11.72,63.95,32.4,13.5,20.0,,2613.75,"18,807",63.7,64.2,32.2,32.5
Riverside CA,61416,1248,338.2544179,15.73,58.1,35.6,8.0,16.7,,7303.81,"2,470,546",58.1,58.1,35.2,36.0
Sacramento CA,23522,447,1558.838949,13.95,61.1,34.5,8.7,17.2,,995.65,"1,552,058",64.4,57.8,32.2,36.7
San Benito CA,1374,13,45.15929566,15.43,59.8,37.2,8.4,17.6,,1390.81,"62,808",61.4,58.2,36.2,38.2
San Bernardino CA,57203,974,108.4274701,17.01,56.8,36.2,7.1,16.4,,20106.39,"2,180,085",58.3,55.3,33.6,38.8
San Diego CA,49529,819,737.6025206,13.5,63.9,30.1,9.1,18.9,,4525.92,"3,338,330",65.3,62.5,29.6,30.6
San Francisco CA,11554,115,3801.582647,12.97,65.2,19.6,13.0,24.0,,231.89,"881,549",65.8,64.6,18.3,20.9
San Joaquin CA,20828,473,534.3269979,15.84,56.2,37.9,7.9,16.4,,1426.37,"762,148",55.3,57.1,35.5,40.2
San Luis Obispo CA,3815,31,78.29981774,11.74,65.7,29.6,11.6,19.4,,3615.73,"283,111",65.1,66.3,29.9,29.3
San Mateo CA,10395,154,1034.413753,11.83,66.1,24.2,11.2,20.9,,741.07,"766,573",67.6,64.6,22.8,25.5
Santa Barbara CA,9387,115,117.8234412,12.96,61.45,30.0,9.3,18.9,,3789.56,"446,499",61.9,61.0,30.1,29.8
Santa Clara CA,22154,355,1477.813465,12.76,64.1,26.0,8.5,18.7,,1304.53,"1,927,852",63.6,64.6,23.9,28.0
Santa Cruz CA,2552,19,449.5705259,12.06,64,28.9,10.4,19.7,,607.72,"273,213",62.6,65.4,28.8,29.0
Shasta CA,1268,24,46.80308035,12.48,60.5,34.1,9.1,16.4,,3847.61,"180,080",63.3,57.7,33.7,34.4
Sierra CA,6,0,3.123603214,11.95,60.75,32.4,13.7,19.5,,962.03,"3,005",61.2,60.3,32.5,32.3
Siskiyou CA,173,0,6.858900944,12.25,63,33.7,10.1,17.3,,6347.81,"43,539",62.3,63.7,32.6,34.8
Solano CA,6713,74,493.6240834,14.39,61.45,34.8,8.8,17.4,,906.85,"447,643",62.0,60.9,32.6,37.0
Sonoma CA,8155,126,279.5464699,11.53,66.9,29.9,11.4,20.2,,1768.35,"494,336",65.9,67.9,29.3,30.5
Stanislaus CA,16886,381,363.5199366,15.59,55.9,39.3,6.9,15.8,,1514.8,"550,660",56.9,54.9,36.3,42.3
Sutter CA,1771,12,159.266498,14.33,58,33.3,7.9,15.9,,608.86,"96,971",57.8,58.2,32.1,34.5
Tehama CA,666,7,21.97076596,13.74,59.25,35.6,10.3,17.7,,2962.3,"65,084",60.3,58.2,34.6,36.6
Trinity CA,26,0,3.829739478,12.54,62.65,33.0,13.4,19.4,,3207.79,"12,285",62.1,63.2,32.3,33.6
Tulare CA,16718,269,96.33302407,17.43,52.3,41.1,6.9,15.3,,4839.41,"466,195",51.5,53.1,38.5,43.7
Tuolumne CA,235,4,23.95142711,12.24,61.15,32.2,10.0,17.4,,2274.52,"54,478",61.0,61.3,31.8,32.6
Ventura CA,13333,157,383.0924306,13.26,60.3,30.8,8.5,17.8,,2208.36,"846,006",61.8,58.8,31.7,29.9
Yolo CA,2918,56,215.569916,12.63,64.35,33.3,10.0,18.7,,1022.87,"220,500",64.1,64.6,32.5,34.0
Yuba CA,1222,10,122.2406961,14.72,55.9,37.7,9.5,16.9,,643.55,"78,668",55.8,56.0,35.3,40.1
Adams CO,10286,235,431.9653039,11.33,63.3,28.1,9.7,19.5,,1197.83,"517,421",64.0,62.6,27.6,28.5
Alamosa CO,258,9,22.43397504,13.79,58.55,32.1,6.9,16.9,,723.59,"16,233",59.6,57.5,30.3,33.9
Arapahoe CO,10132,375,815.1638174,11.33,64.1,26.5,9.2,20.6,,805.47,"656,590",66.2,62.0,25.7,27.2
Archuleta CO,56,0,10.35618056,11,64,27.2,11.7,21.4,,1354.65,"14,029",65.8,62.2,27.9,26.4
Baca CO,18,0,1.400337864,12.75,52.2,36.6,7.8,15.9,,2557.24,"3,581",53.3,51.1,35.9,37.3
Bent CO,11,0,3.618491484,15.9,49.9,41.0,8.1,19.0,,1541.25,"5,577",51.8,48.0,38.2,43.8
Boulder CO,4748,81,434.1176471,11.33,63.3,28.1,9.7,19.5,,751.4,"326,196",64.0,62.6,27.6,28.5
Broomfield CO,716,37,2100.298063,11.33,63.3,28.1,9.7,19.5,,33.55,"70,465",64.0,62.6,27.6,28.5
Chaffee CO,350,20,20.05378939,10.35,64.15,24.1,11.6,20.2,,1015.07,"20,356",64.2,64.1,24.1,24.0
